;tweetid;stance;sent
148;1514635956162560003;believer;neutral
149;1473483915025432581;believer;neutral
150;1426047275449479169;believer;positive
151;1029562252116942848;believer;positive
152;951304843850739712;believer;positive
153;1473242141451165714;believer;neutral
154;1501966353531428867;believer;neutral
155;1423933421185810441;believer;negative
156;1459814129976295424;believer;positive
157;986275704273801221;believer;neutral
158;1456770338008625154;deny;neutral
159;948001381540962304;believer;positive
160;1471340014789267456;believer;positive
161;1505283914398674950;believer;positive
162;1508773483752398858;believer;neutral
163;1425883817143947264;believer;neutral
164;991366401242869760;believer;neutral
165;713181240984100864;believer;neutral
166;1067791738322923520;believer;neutral
167;1424774244777476098;believer;positive
168;640209888660971520;believer;positive
169;1514382544111869956;believer;positive
170;1483831059984879627;believer;neutral
171;953678855125925888;believer;neutral
172;1032289194125737984;believer;negative
173;1501109420721324033;believer;negative
174;1035301054714265600;believer;neutral
175;1433253337051418624;believer;positive
176;1434763415684370433;believer;positive
177;1431186725544644609;believer;positive
178;1454382367750168582;deny;negative
179;1497961011881680901;believer;negative
180;986361606429753345;believer;negative
181;1425131836808654850;believer;positive
182;1069482323949703169;believer;positive
183;1433624645328982020;believer;neutral
184;1445618344321699843;believer;negative
185;1454842860100931586;believer;neutral
186;1439942874074910726;believer;positive
187;868453536618745856;deny;negative
188;1478969584707276803;believer;positive
189;1444373147495682052;deny;positive
190;1422529110727925807;believer;positive
191;1033235611350523904;believer;negative
192;939886242329534464;believer;neutral
193;1438739423609307140;believer;positive
194;1451360210518380568;believer;neutral
195;988164399520206848;believer;positive
196;1457270264761229315;believer;negative
197;1432613451596185602;deny;negative
198;1035504141953630208;believer;neutral
199;1478764657607204864;believer;neutral
200;1425811529363034113;believer;positive
201;952445218099314690;believer;positive
202;1035568968159772672;believer;neutral
203;946269964817670144;believer;positive
204;1439636475835043845;believer;positive
205;983334118204338176;believer;positive
206;1497696809526857728;believer;negative
207;1451573106040926209;believer;neutral
208;1445185112543539200;believer;neutral
209;1457024059300925443;believer;neutral
210;987296616519557121;believer;positive
211;982606455282061312;believer;positive
212;1427434119462637577;believer;negative
213;1435787352593641477;believer;neutral
214;1517607128722132992;believer;neutral
215;1452621417611239431;believer;neutral
216;1068608408356564992;believer;negative
217;1462317377295581186;believer;positive
218;1428787816197197825;believer;neutral
219;1444676441623330821;believer;neutral
220;704336848726925312;believer;positive
221;1426773441311436804;deny;neutral
222;1499815170373152770;believer;neutral
223;1449900392670715906;believer;negative
224;704168907288870912;believer;positive
225;1451637996814360577;believer;positive
226;1471498489175572484;believer;neutral
227;935041415842643968;believer;positive
228;1482226509540737030;believer;positive
229;1035151427902091264;believer;negative
230;562738575351885824;deny;negative
231;1029293933522644993;believer;positive
232;1456951449758412804;believer;positive
233;1454919617449660420;deny;negative
234;1477702894510088193;believer;neutral
235;954032799073398784;believer;positive
236;1456660445847166977;believer;negative
237;990650578664554496;believer;positive
238;1428922130188673025;believer;neutral
239;1423023289069293570;deny;negative
240;986582282856214528;believer;negative
241;1476533980077993984;believer;negative
242;988849706850598915;believer;negative
243;1067804721078026241;believer;negative
244;1444022438732476420;believer;positive
245;1504252279825784835;believer;positive
246;1067949290054537216;believer;positive
247;1422189230831415302;believer;positive
248;1067456256607166464;believer;negative
249;1425511684362231810;believer;positive
250;988824910855311362;believer;neutral
251;1067523492457967616;believer;positive
252;1483767955573858306;believer;positive
253;1421583708428120065;believer;neutral
254;1030149301995954176;believer;positive
255;1456660224492728326;believer;negative
256;1443216593794764806;believer;neutral
257;1505567476976865284;believer;negative
258;1467559548177289216;believer;neutral
259;1429129875890135051;believer;neutral
260;989849814060978176;deny;negative
261;1456712900156997637;believer;positive
262;870528930419138560;believer;positive
263;6111107191;deny;negative
264;1480111947878219776;believer;neutral
265;1067936681221922816;believer;negative
266;952079423133466626;believer;positive
267;597962482322247680;believer;neutral
268;1032004925742567426;believer;positive
269;988097131767459840;believer;positive
270;988850047935627264;believer;negative
271;952333368930197504;believer;positive
272;1030425986871906304;believer;negative
273;1454479090057154565;deny;neutral
274;1457028004358545409;believer;negative
275;906548198864453632;believer;neutral
276;984749990772989953;believer;neutral
277;954158651001982982;believer;neutral
278;946276184823754752;believer;positive
279;940218609347059712;deny;negative
280;962811052265234432;believer;negative
281;1432643451489767428;deny;negative
282;1425759173678096389;believer;positive
283;1457016374971322373;believer;positive
284;1454869673158352898;believer;positive
285;1452699464997621760;deny;neutral
286;1452858051254358024;believer;positive
287;1068675429861601280;believer;positive
288;1504043300461895680;believer;positive
289;960686707401138176;believer;negative
290;1480744334563545090;deny;neutral
291;981695534242004992;believer;negative
292;944783279994978304;believer;negative
293;986934368215224321;believer;negative
294;1030439794491318272;believer;negative
295;1429496739086704643;believer;negative
296;1439634091515723782;deny;positive
297;1454768977427718144;deny;neutral
298;1423986223576723464;believer;positive
299;1511301348712755213;believer;positive
300;1032038149512282113;believer;neutral
301;982987160683991040;believer;negative
302;1445642532893835266;believer;positive
303;1425481149049188353;believer;neutral
304;1443168689164103682;deny;neutral
305;1433924284666294285;deny;negative
306;1460284927673569281;deny;negative
307;984394240732971011;believer;negative
308;906687935977807872;believer;positive
309;1479420243990745088;believer;positive
310;1442966197251629062;believer;negative
311;826842582965710848;believer;neutral
312;1440642767185584131;believer;neutral
313;1459663040211783689;deny;negative
314;824346232088829952;believer;positive
315;872280568976814080;believer;negative
316;1446398579678011406;believer;positive
317;990057762834051072;believer;positive
318;1457044823123369994;deny;negative
319;1437717441568776202;believer;negative
320;951524387458633730;believer;negative
321;1445663102234611723;believer;positive
322;1455491065906073604;deny;negative
323;1438478319297630212;believer;positive
324;1068359703149899776;believer;negative
325;1423530159236337665;believer;neutral
326;922621904434839552;believer;positive
327;851586536717950976;believer;negative
328;1515483676494102530;believer;neutral
329;1471151958950096898;believer;neutral
330;1422113576571998210;believer;neutral
331;1433671099229753346;believer;positive
332;1451577164806164486;believer;negative
333;985248117124751361;deny;negative
334;984719119680491520;believer;negative
335;1452150929281601540;believer;negative
336;1068331574054146048;believer;positive
337;1461030174661746692;deny;negative
338;1433469316620500994;believer;neutral
339;951363140788273153;believer;neutral
340;1429541822163034120;deny;negative
341;1458103973747953665;deny;negative
342;984114608184221697;believer;neutral
343;1451998676113625095;believer;neutral
344;1432097810212696072;believer;negative
345;1514972779099181056;believer;neutral
346;1069651088327000067;believer;negative
347;951867334129577984;believer;neutral
348;1512147643920699395;deny;neutral
349;983165591581265920;deny;positive
350;42290061294845952;deny;positive
351;1031994677254184960;believer;neutral
352;872759324208230400;deny;positive
353;1515462617250164737;believer;positive
354;1500778855056875522;believer;positive
355;1517207173306232843;believer;negative
356;1422215890125443072;believer;positive
357;1481946620895842308;believer;positive
358;1514845907896123392;believer;neutral
359;1457899135474946050;believer;negative
360;1459126024730558467;believer;negative
361;1454954761728532482;deny;negative
362;1067457036538052608;believer;negative
363;1442562308799008770;deny;negative
364;1453424163839004672;deny;negative
365;990871635690389504;believer;neutral
366;316686295751593984;deny;positive
367;1030025792850481152;believer;neutral
368;1516790602167332865;believer;neutral
369;1477574504691994626;believer;positive
370;1441495421755482112;believer;positive
371;1451328291244216323;deny;negative
372;986733431408222208;believer;positive
373;1068609135011422214;believer;neutral
374;221775031204712448;deny;negative
375;1470131105680531460;believer;positive
376;1443712264205320204;believer;positive
377;954062874992873472;believer;positive
378;1421274189504421892;believer;neutral
379;1458536693250854917;believer;positive
380;1458796955056939011;believer;negative
381;981742432382476288;believer;positive
382;946346540888678400;believer;positive
383;1437225964547739648;deny;negative
384;987065954457669632;believer;positive
385;983503006661423104;believer;negative
386;1450584698296709124;deny;neutral
387;1460997990680780801;believer;positive
388;981170469557563394;believer;positive
389;952811667447939073;believer;positive
390;906940184649859072;believer;negative
391;1422968206428311553;deny;negative
392;1030547827192037376;believer;neutral
393;1452543610721800197;believer;neutral
394;1447090449739517954;believer;neutral
395;953469128513384448;believer;positive
396;1456688207228280832;believer;positive
397;6967028434;deny;positive
398;1035393293855678464;believer;negative
399;1425514037220048901;believer;neutral
400;952355919425191938;believer;neutral
401;1501468959283245058;believer;positive
402;1458185828031778823;believer;neutral
403;936452492036116480;believer;positive
404;1035516384644661249;believer;neutral
405;1430191440550846471;believer;positive
406;568809857156907008;deny;negative
407;1454542420423503872;believer;negative
408;1422990829514227715;deny;neutral
409;990276374714707968;believer;neutral
410;1029420899269787648;believer;negative
411;1030091025484668928;believer;neutral
412;1034029076770693121;believer;positive
413;970791008756813824;believer;positive
414;1458046671347200003;believer;negative
415;1426451038865920003;believer;positive
416;1423470745171025922;believer;neutral
417;1459859979880517632;believer;positive
418;1069727206253977601;believer;positive
419;1454852717294329861;deny;negative
420;1440793478519164930;deny;negative
421;1479065199193862144;believer;positive
422;1502535990216474625;believer;positive
423;1472856464700104706;believer;negative
424;981751678876569600;believer;positive
425;1456902289260613634;believer;neutral
426;1451597463459147779;believer;positive
427;1460913344098054144;believer;neutral
428;1432934509188722690;believer;neutral
429;1453532440148856838;believer;negative
430;950697922663874560;believer;neutral
431;1433249151685300227;believer;neutral
432;1485039635583672321;believer;positive
433;1477266248312492033;believer;neutral
434;990853007079366658;believer;negative
435;1031346910290821121;believer;positive
436;936376819602800640;believer;positive
437;951703852008529921;believer;positive
438;1514450655519207425;believer;positive
439;1441003479787528192;believer;positive
440;1034930868672913414;believer;neutral
441;1456658663121121284;believer;neutral
442;1455886003185635330;believer;positive
443;940691887727427584;believer;neutral
444;953238351645171715;believer;positive
445;1457104323553345536;believer;neutral
446;1029793097235013635;believer;neutral
447;1423400391354499072;believer;positive
448;1068243418613071873;believer;negative
449;1035344680118931456;believer;positive
450;1460160496263479299;believer;neutral
451;558377368050348032;deny;negative
452;1067425390568894466;believer;positive
453;667023234823553024;believer;positive
454;1479826841116549121;believer;negative
455;1443206248053227523;believer;negative
456;873364100063088640;believer;neutral
457;984544187747045379;believer;neutral
458;983314866072162304;believer;negative
459;1426344488939646976;believer;positive
460;1435652516289581063;deny;negative
461;824638022486523904;believer;positive
462;951514293194780672;believer;neutral
463;1119376027682254848;deny;negative
464;829803587786117120;believer;positive
465;950492941830602752;believer;positive
466;1427173631751241729;believer;negative
467;1441872705289129986;deny;negative
468;1425391600255995905;deny;neutral
469;918739643830382592;believer;positive
470;987159736423407617;believer;positive
471;1034487315907928064;believer;neutral
472;934997717385744384;believer;negative
473;1425052794202038295;deny;neutral
474;1433208976628400129;believer;positive
475;1424144584796372992;believer;positive
476;561003384858107904;deny;negative
477;829438461845372928;believer;neutral
478;1501433947422486533;believer;negative
479;1427214679038910467;believer;neutral
480;1067697439635853312;believer;negative
481;1458852412656128004;believer;positive
482;1451911840984756226;believer;negative
483;1034181620344020992;believer;neutral
484;824099577926189056;believer;positive
485;1445047630149525504;believer;neutral
486;1461011289380167694;deny;negative
487;1434661991654776838;believer;positive
488;1439921260218265603;deny;neutral
489;1425492759713038337;believer;positive
490;1456711984557314053;believer;neutral
491;1459820128753766402;deny;negative
492;1029492387444211713;believer;positive
493;988447184503869440;believer;positive
494;988121785127358470;believer;positive
495;1432042256941338627;believer;negative
496;714826608746622976;deny;negative
497;1029466425805746176;believer;neutral
498;1438974131500953606;believer;negative
499;1033367128039202816;believer;negative
500;986693536681742338;believer;negative
501;1517473879475867649;believer;negative
502;1425969550441472008;believer;positive
503;1422940199378636815;believer;neutral
504;1433874715131748355;believer;positive
505;1483678951876984838;believer;neutral
506;1028989472489254913;believer;positive
507;1068321110201196544;believer;positive
508;1032784177916256256;believer;neutral
509;1459830221985648640;believer;negative
510;1467555354796081159;believer;positive
511;1451207043373694985;believer;neutral
512;929794950438338560;believer;negative
513;1438841936958345219;believer;neutral
514;1029219152077119488;believer;negative
515;1514959920956796934;believer;neutral
516;27884886045;deny;negative
517;1450193425312194562;deny;negative
518;1454422989156540417;believer;positive
519;1032769106037145600;believer;neutral
520;981299777412374528;believer;positive
521;1506453945522143234;believer;positive
522;1031720035310436352;believer;negative
523;1424559417899601921;believer;positive
524;1455117855444377605;deny;positive
525;990071596982288384;believer;negative
526;1069859552269615105;believer;positive
527;557322879662972928;deny;neutral
528;1452757019337711625;deny;neutral
529;1030818325947793408;believer;negative
530;1031987623244558342;believer;neutral
531;934960068126154752;believer;positive
532;1457135675992465415;deny;negative
533;1498265182199779331;believer;negative
534;1067504872113807360;believer;positive
535;984518842947948544;believer;positive
536;831169828199100416;believer;negative
537;1457703490277371910;believer;positive
538;1454810693350432773;deny;negative
539;952112258624212993;believer;positive
540;954412999455854592;deny;negative
541;1035625327748374529;believer;neutral
542;824289500012695552;believer;positive
543;1457393847277871107;believer;neutral
544;1443782174654697483;deny;negative
545;1456552292761493510;believer;positive
546;1455038020952809472;believer;positive
547;1029717224150523904;believer;neutral
548;1032921217139920896;believer;negative
549;940975117475119104;believer;positive
550;1460022272383668229;believer;neutral
551;972955517982203904;believer;positive
552;1424510261306658816;believer;negative
553;1449682176635654149;believer;negative
554;1516310016197742593;believer;positive
555;1480335713019256843;deny;neutral
556;1517525097476927488;believer;positive
557;1454525562395901954;believer;positive
558;824311234942083072;believer;negative
559;1423997787503534084;believer;positive
560;1067932382106451970;believer;negative
561;824263742611460096;believer;neutral
562;1031262278031749120;believer;negative
563;1068108085598842880;believer;neutral
564;585926558155681792;deny;positive
565;1482959940746887171;believer;positive
566;1506326663537303552;believer;neutral
567;1450290685932883969;deny;negative
568;946570116342333440;believer;positive
569;824061175822303232;believer;positive
570;1442995530561294338;believer;positive
571;587772007636414464;believer;neutral
572;1430625296986771459;believer;positive
573;985475342197514241;believer;negative
574;1457100093505642507;believer;neutral
575;1035003511690289152;believer;negative
576;1031428986901917696;believer;negative
577;982843652069183489;believer;negative
578;988614842972913664;believer;positive
579;1453753666486382595;deny;negative
580;909954935906762752;believer;negative
581;1433390589664448516;believer;neutral
582;870438613561085952;believer;neutral
583;951382755325218816;believer;neutral
584;809778448143122432;believer;positive
585;990930848848449536;believer;negative
586;1468811170010124288;believer;neutral
587;1456793678660390916;believer;neutral
588;871349304987930624;deny;negative
589;516180486423871488;deny;positive
590;1476920736224878592;believer;positive
591;1033198388697681920;believer;positive
592;1069805106814574593;believer;neutral
593;1452899458123980801;deny;neutral
594;1446158021738991617;deny;neutral
595;1429787357264367618;believer;negative
596;1438699050803544065;believer;neutral
597;1438746824697794562;believer;positive
598;1068459153528692737;believer;neutral
599;1452331806066282496;believer;neutral
600;1068953158376800256;believer;positive
601;1461907054453354498;believer;neutral
602;1433925123585757188;deny;negative
603;1483795212837085184;believer;positive
604;1069729646407770119;believer;positive
605;1503898401284440071;believer;neutral
606;1456102661296635904;believer;positive
607;1483623085676789760;believer;neutral
608;870508366858027008;believer;positive
609;1451419548641423363;believer;positive
610;1069039536640942080;believer;neutral
611;1120101588004167680;deny;negative
612;1482408909663088645;believer;neutral
613;1068054796077133824;believer;neutral
614;1444011763423457282;believer;neutral
615;1451157840287182852;believer;neutral
616;1069271214215057410;believer;positive
617;1069699389520662528;believer;positive
618;1461801614977773587;believer;positive
619;952324865318518785;believer;positive
620;1458963000828862465;believer;neutral
621;1435174383971147776;believer;positive
622;987160494338289664;believer;positive
623;982086089824448513;believer;neutral
624;1454472076778262533;believer;positive
625;1483699583959982080;believer;positive
626;1029483781634306048;believer;positive
627;1428668326281105411;believer;positive
628;1455224345039622145;believer;negative
629;1450744280931262464;believer;positive
630;1514536574976868354;believer;neutral
631;1455602256766767117;believer;positive
632;1424759560389099530;believer;negative
633;1424702184961282061;believer;neutral
634;1068461890731266048;believer;positive
635;984624469703475200;believer;positive
636;1434195995852632072;believer;neutral
637;1069113953219862533;believer;positive
638;1450447262325297157;believer;negative
639;1030839444088078337;believer;negative
640;824424552188911616;believer;negative
641;1514511420875894784;believer;neutral
642;1029234416868966401;believer;positive
643;908396611084177408;believer;neutral
644;388449579034636288;believer;neutral
645;950410514294751232;believer;positive
646;1421359054857904135;deny;neutral
647;1446098015475965955;believer;positive
648;1432398149176344576;believer;positive
649;1068886922087604231;believer;negative
650;621841750319960064;believer;neutral
651;1030820632051691520;believer;negative
652;556949233094258688;deny;negative
653;941100940572073984;believer;positive
654;1461478585093566467;deny;negative
655;1450630973004165126;believer;positive
656;1034042287817285632;believer;negative
657;1434938721166630914;deny;negative
658;1439679996960727050;believer;positive
659;1031619532291371008;believer;positive
660;1068103498930237440;believer;neutral
661;831896658325622784;believer;positive
662;1456900598184353793;believer;positive
663;604364453174353920;deny;negative
664;1424993450416656391;believer;negative
665;610817920571166720;believer;negative
666;1514630213384093696;believer;neutral
667;1030095448898301954;believer;negative
668;1034473649804271616;believer;neutral
669;1425100655044272137;deny;negative
670;1478304424372150273;believer;positive
671;1453867962931171328;believer;positive
672;1497701564286480389;believer;positive
673;1478819602553577474;believer;negative
674;1451357888581193738;believer;neutral
675;1435553246131724290;deny;neutral
676;1446419529035304960;believer;positive
677;1457807634841718786;believer;neutral
678;1443856931408343043;believer;neutral
679;1460588715181371392;believer;positive
680;1454244080825745413;believer;positive
681;1441454698570162176;believer;neutral
682;1517158355499765760;believer;negative
683;577498896156475392;deny;positive
684;940391261181132800;believer;positive
685;12726757441;deny;positive
686;984977095674675200;believer;positive
687;1450004591785832449;believer;positive
688;989732746959339520;believer;positive
689;1437915774283304960;believer;positive
690;1433538431242620932;deny;negative
691;901932463236169728;believer;positive
692;1069756113917140993;believer;positive
693;1033650501399674881;believer;neutral
694;568764587111161856;deny;negative
695;1507104242523258894;believer;negative
696;1450063355717296129;believer;neutral
697;1069740676915417088;believer;negative
698;1459538049705013256;believer;positive
699;1455407302740115458;believer;positive
700;628756171290243072;deny;positive
701;952166340801970178;believer;positive
702;1431129988934295553;deny;negative
703;1472980384887443461;believer;neutral
704;1467631943290273794;deny;negative
705;1458876765737213965;deny;negative
706;677940187322851328;deny;positive
707;705394557605646336;believer;negative
708;988147553131778048;believer;neutral
709;1429201898863841285;believer;negative
710;1517121389697794049;believer;positive
711;1029463940793696256;believer;negative
712;1501695245049815042;believer;negative
713;1497765002111070209;believer;positive
714;1515065886805467136;believer;positive
715;991437687193300992;believer;neutral
716;1032081781061767168;believer;neutral
717;1032618577965268992;believer;positive
718;983333254815272960;believer;neutral
719;1461653133738725379;believer;positive
720;1501542841075617792;believer;neutral
721;637020911019925504;believer;positive
722;1476776610502098944;believer;neutral
723;1497329054390763520;believer;negative
724;1438870998061780995;believer;positive
725;1030550517188046852;believer;positive
726;1424918474955149312;believer;negative
727;1505853490060484610;believer;positive
728;1514410714529632256;believer;neutral
729;564509022506582016;deny;neutral
730;1479317223730647041;believer;positive
731;986938256842518530;believer;neutral
732;1438846565179924483;believer;positive
733;1032989683465236480;believer;positive
734;1454884456955879424;believer;neutral
735;870964391646306304;believer;positive
736;1429490823557746690;deny;negative
737;1441210620888567814;deny;negative
738;1028963153458024448;believer;neutral
739;1428726889670225924;deny;positive
740;1069850396481462272;believer;neutral
741;1031588092610658304;believer;positive
742;1068792326812778496;believer;negative
743;4621221480103936;deny;negative
744;1436833139884765184;deny;negative
745;1455654784191565824;deny;positive
746;1456659580440629250;believer;positive
747;1069600097615384576;believer;positive
748;981598222459301889;believer;negative
749;1069579176313843719;believer;positive
750;981383076961030145;believer;negative
751;1425144644673867785;believer;neutral
752;991497304224890880;believer;neutral
753;954071399391428610;believer;positive
754;982949327286005763;believer;positive
755;1068148281560260608;believer;neutral
756;1424435945663729665;believer;positive
757;1481208727512535041;believer;positive
758;1428362179326005255;believer;positive
759;1068229619382284288;deny;negative
760;1033601622604238848;believer;neutral
761;1461137644688052224;believer;positive
762;1068147889845624832;believer;neutral
763;1433845154113327107;deny;negative
764;1030150317482991616;believer;positive
765;1067809815840415744;believer;neutral
766;687976507340361728;believer;neutral
767;1068817278773411840;believer;neutral
768;1450623644732993536;believer;neutral
769;984448796972154882;believer;neutral
770;1438964403483799552;believer;neutral
771;986005775104512000;believer;negative
772;1513877403608797192;believer;neutral
773;1067777833743863810;believer;positive
774;1470755713714573317;deny;negative
775;1067367758550036480;believer;positive
776;1477361329719717891;believer;negative
777;1068099801672110080;deny;positive
778;1450457329464446976;believer;neutral
779;950452712407273472;believer;negative
780;1457038470669553668;believer;negative
781;1442802983293448192;believer;neutral
782;1441515200822317063;deny;positive
783;1485349501753831437;believer;positive
784;943375531122221056;believer;positive
785;1068156832810655744;believer;negative
786;706910221524815872;deny;negative
787;1031360802035523585;believer;negative
788;1450943964547276806;believer;negative
789;991303510280036357;believer;negative
790;1429794230130577417;believer;positive
791;1483833511580770313;believer;positive
792;1439319176431144968;deny;negative
793;1442721958819401729;believer;neutral
794;1456709199434559488;believer;neutral
795;1455513229233475585;believer;negative
796;1445618029400760320;deny;negative
797;1443484504404922369;deny;negative
798;1498980482960265221;believer;neutral
799;1440393672114069509;believer;negative
800;1476630473925435405;believer;positive
801;1441433664294830085;believer;positive
802;1031693688236335105;believer;neutral
803;943744365565841408;believer;positive
804;829794425219985408;deny;negative
805;946917886127308800;believer;negative
806;1452402570601844742;deny;negative
807;1440482757134618633;deny;neutral
808;984652650409947136;believer;positive
809;981694564711841792;believer;negative
810;1457800946503720963;believer;positive
811;1457024066175578117;believer;neutral
812;1453987282717790208;believer;positive
813;1457024222186852361;believer;negative
814;1425534089185136649;deny;positive
815;1440783226432225289;believer;neutral
816;935673674027319296;believer;positive
817;987017756070461441;believer;negative
818;1032102463585697793;believer;neutral
819;1451543593764720644;deny;positive
820;1029761588209831936;believer;negative
821;1439355670139076609;believer;positive
822;1473786974720851968;believer;positive
823;1516154175146831872;believer;negative
824;983291790777339904;believer;negative
825;1516098013776785420;believer;neutral
826;952699205222465536;believer;positive
827;951830681671397376;believer;neutral
828;1436102388843114527;believer;negative
829;1430295731294904325;believer;positive
830;1458727098034622470;deny;negative
831;939758132246413312;believer;positive
832;1471604926283345921;believer;positive
833;559931311448522752;deny;negative
834;981480720550920193;believer;negative
835;1451097657053700101;deny;negative
836;914675450068312064;believer;positive
837;1423599440116473859;believer;neutral
838;708140964993347584;believer;negative
839;1512704541246038019;deny;neutral
840;920923032297783296;believer;positive
841;1035376649141805056;believer;neutral
842;1454586260194988032;believer;negative
843;1029919197562855424;believer;positive
844;384399233500983296;deny;negative
845;1421149343650746373;believer;positive
846;1515003673218551812;believer;neutral
847;1033993634490638336;believer;neutral
848;1034798209061867520;believer;negative
849;1483366215296847873;believer;positive
850;1427385931271573512;believer;positive
851;989132595957874688;believer;negative
852;1031968005687861249;believer;positive
853;1031695714198462469;believer;neutral
854;1483714916171526147;believer;neutral
855;1475828729943363588;believer;negative
856;1455344210446585863;deny;negative
857;596295401315045376;believer;neutral
858;1455481253193555973;deny;negative
859;1443312732606844930;believer;positive
860;1515955257213272064;believer;positive
861;1031496633941471232;believer;positive
862;1458097369929629708;believer;neutral
863;1501741331676385280;believer;neutral
864;1442958253797773312;believer;neutral
865;989265643999498243;believer;neutral
866;1455951197207203849;deny;negative
867;1433782171668410368;believer;positive
868;987552857019707392;believer;positive
869;1067964532834873344;believer;neutral
870;1434226946469203973;believer;neutral
871;987753639744823296;believer;negative
872;986727605088018435;believer;positive
